iter	Passed	Remaining
0	399	199244
1	685	170729
2	974	161441
3	1272	157767
4	1641	162463
5	1918	157924
6	2172	152981
7	2432	149577
8	2693	146926
9	2953	144730
10	3213	142857
11	3466	140990
12	3717	139247
13	3968	137775
14	4227	136673
15	4490	135837
16	4749	134935
17	5008	134105
18	5271	133453
19	5539	132937
20	5818	132715
21	6076	132021
22	6358	131877
23	6661	132117
24	6944	131945
25	7205	131370
26	7462	130728
27	7727	130269
28	7980	129611
29	8257	129370
30	8520	128902
31	8784	128476
32	9049	128065
33	9313	127654
34	9567	127105
35	9817	126539
36	10070	126016
37	10322	125503
38	10574	124992
39	10832	124577
